"Column Name","Label"
"B15001_018M","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Graduate or professional degree"
"B15001_018MA","Annotation of Margin of Error!!Total:!!Male:!!25 to 34 years:!!Graduate or professional degree"
"B15001_019E","Estimate!!Total:!!Male:!!35 to 44 years:"
"B15001_019EA","Annotation of Estimate!!Total:!!Male:!!35 to 44 years:"
"B15001_019M","Margin of Error!!Total:!!Male:!!35 to 44 years:"
"B15001_019MA","Annotation of Margin of Error!!Total:!!Male:!!35 to 44 years:"
"B15001_020E","Estimate!!Total:!!Male:!!35 to 44 years:!!Less than 9th grade"
"B15001_020EA","Annotation of Estimate!!Total:!!Male:!!35 to 44 years:!!Less than 9th grade"
"B15001_020M","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Less than 9th grade"
"B15001_020MA","Annotation of Margin of Error!!Total:!!Male:!!35 to 44 years:!!Less than 9th grade"
"B15001_021E","Estimate!!Total:!!Male:!!35 to 44 years:!!9th to 12th grade, no diploma"
"B15001_021EA","Annotation of Estimate!!Total:!!Male:!!35 to 44 years:!!9th to 12th grade, no diploma"
"B15001_021M","Margin of Error!!Total:!!Male:!!35 to 44 years:!!9th to 12th grade, no diploma"
"B15001_021MA","Annotation of Margin of Error!!Total:!!Male:!!35 to 44 years:!!9th to 12th grade, no diploma"
"B15001_022E","Estimate!!Total:!!Male:!!35 to 44 years:!!High school graduate (includes equivalency)"
"B15001_022EA","Annotation of Estimate!!Total:!!Male:!!35 to 44 years:!!High school graduate (includes equivalency)"
"B15001_022M","Margin of Error!!Total:!!Male:!!35 to 44 years:!!High school graduate (includes equivalency)"
"B15001_022MA","Annotation of Margin of Error!!Total:!!Male:!!35 to 44 years:!!High school graduate (includes equivalency)"
"B15001_023E","Estimate!!Total:!!Male:!!35 to 44 years:!!Some college, no degree"
"B15001_023EA","Annotation of Estimate!!Total:!!Male:!!35 to 44 years:!!Some college, no degree"
"B15001_023M","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Some college, no degree"
"B15001_023MA","Annotation of Margin of Error!!Total:!!Male:!!35 to 44 years:!!Some college, no degree"
"B15001_024E","Estimate!!Total:!!Male:!!35 to 44 years:!!Associate's degree"
"B15001_024EA","Annotation of Estimate!!Total:!!Male:!!35 to 44 years:!!Associate's degree"
"B15001_024M","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Associate's degree"
"B15001_024MA","Annotation of Margin of Error!!Total:!!Male:!!35 to 44 years:!!Associate's degree"
"B15001_025E","Estimate!!Total:!!Male:!!35 to 44 years:!!Bachelor's degree"
"B15001_025EA","Annotation of Estimate!!Total:!!Male:!!35 to 44 years:!!Bachelor's degree"
"B15001_025M","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Bachelor's degree"
"B15001_025MA","Annotation of Margin of Error!!Total:!!Male:!!35 to 44 years:!!Bachelor's degree"
"B15001_026E","Estimate!!Total:!!Male:!!35 to 44 years:!!Graduate or professional degree"
"B15001_026M","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Graduate or professional degree"
"B15001_026MA","Annotation of Margin of Error!!Total:!!Male:!!35 to 44 years:!!Graduate or professional degree"
"B15001_026EA","Annotation of Estimate!!Total:!!Male:!!35 to 44 years:!!Graduate or professional degree"
"B15001_027E","Estimate!!Total:!!Male:!!45 to 64 years:"
"B15001_027EA","Annotation of Estimate!!Total:!!Male:!!45 to 64 years:"
"B15001_027M","Margin of Error!!Total:!!Male:!!45 to 64 years:"
"B15001_027MA","Annotation of Margin of Error!!Total:!!Male:!!45 to 64 years:"
"B15001_028E","Estimate!!Total:!!Male:!!45 to 64 years:!!Less than 9th grade"
"B15001_028EA","Annotation of Estimate!!Total:!!Male:!!45 to 64 years:!!Less than 9th grade"
"B15001_028M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Less than 9th grade"
"B15001_028MA","Annotation of Margin of Error!!Total:!!Male:!!45 to 64 years:!!Less than 9th grade"
"B15001_029E","Estimate!!Total:!!Male:!!45 to 64 years:!!9th to 12th grade, no diploma"
"B15001_029EA","Annotation of Estimate!!Total:!!Male:!!45 to 64 years:!!9th to 12th grade, no diploma"
"B15001_029M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!9th to 12th grade, no diploma"
"B15001_029MA","Annotation of Margin of Error!!Total:!!Male:!!45 to 64 years:!!9th to 12th grade, no diploma"
"B15001_030E","Estimate!!Total:!!Male:!!45 to 64 years:!!High school graduate (includes equivalency)"
"B15001_030M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!High school graduate (includes equivalency)"
"B15001_030MA","Annotation of Margin of Error!!Total:!!Male:!!45 to 64 years:!!High school graduate (includes equivalency)"
"B15001_030EA","Annotation of Estimate!!Total:!!Male:!!45 to 64 years:!!High school graduate (includes equivalency)"
"B15001_031E","Estimate!!Total:!!Male:!!45 to 64 years:!!Some college, no degree"
"B15001_031EA","Annotation of Estimate!!Total:!!Male:!!45 to 64 years:!!Some college, no degree"
"B15001_031M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Some college, no degree"
"B15001_031MA","Annotation of Margin of Error!!Total:!!Male:!!45 to 64 years:!!Some college, no degree"
"B15001_032E","Estimate!!Total:!!Male:!!45 to 64 years:!!Associate's degree"
"B15001_032EA","Annotation of Estimate!!Total:!!Male:!!45 to 64 years:!!Associate's degree"
"B15001_032M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Associate's degree"
"B15001_032MA","Annotation of Margin of Error!!Total:!!Male:!!45 to 64 years:!!Associate's degree"
"B15001_033E","Estimate!!Total:!!Male:!!45 to 64 years:!!Bachelor's degree"
"B15001_033EA","Annotation of Estimate!!Total:!!Male:!!45 to 64 years:!!Bachelor's degree"
"B15001_033M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Bachelor's degree"
"B15001_033MA","Annotation of Margin of Error!!Total:!!Male:!!45 to 64 years:!!Bachelor's degree"
"B15001_034E","Estimate!!Total:!!Male:!!45 to 64 years:!!Graduate or professional degree"
"B15001_034M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Graduate or professional degree"
"B15001_034MA","Annotation of Margin of Error!!Total:!!Male:!!45 to 64 years:!!Graduate or professional degree"
"B15001_034EA","Annotation of Estimate!!Total:!!Male:!!45 to 64 years:!!Graduate or professional degree"
"B15001_035E","Estimate!!Total:!!Male:!!65 years and over:"
"B15001_035EA","Annotation of Estimate!!Total:!!Male:!!65 years and over:"
"B15001_035M","Margin of Error!!Total:!!Male:!!65 years and over:"
"B15001_035MA","Annotation of Margin of Error!!Total:!!Male:!!65 years and over:"
"B15001_036E","Estimate!!Total:!!Male:!!65 years and over:!!Less than 9th grade"
"B15001_036M","Margin of Error!!Total:!!Male:!!65 years and over:!!Less than 9th grade"
"B15001_036MA","Annotation of Margin of Error!!Total:!!Male:!!65 years and over:!!Less than 9th grade"
"B15001_036EA","Annotation of Estimate!!Total:!!Male:!!65 years and over:!!Less than 9th grade"
"B15001_037E","Estimate!!Total:!!Male:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_037EA","Annotation of Estimate!!Total:!!Male:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_037M","Margin of Error!!Total:!!Male:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_037MA","Annotation of Margin of Error!!Total:!!Male:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_038E","Estimate!!Total:!!Male:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_038EA","Annotation of Estimate!!Total:!!Male:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_038M","Margin of Error!!Total:!!Male:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_038MA","Annotation of Margin of Error!!Total:!!Male:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_039E","Estimate!!Total:!!Male:!!65 years and over:!!Some college, no degree"
"B15001_039EA","Annotation of Estimate!!Total:!!Male:!!65 years and over:!!Some college, no degree"
"B15001_039M","Margin of Error!!Total:!!Male:!!65 years and over:!!Some college, no degree"
"B15001_039MA","Annotation of Margin of Error!!Total:!!Male:!!65 years and over:!!Some college, no degree"
"B15001_040E","Estimate!!Total:!!Male:!!65 years and over:!!Associate's degree"
"B15001_040M","Margin of Error!!Total:!!Male:!!65 years and over:!!Associate's degree"
"B15001_040MA","Annotation of Margin of Error!!Total:!!Male:!!65 years and over:!!Associate's degree"
"B15001_040EA","Annotation of Estimate!!Total:!!Male:!!65 years and over:!!Associate's degree"
"B15001_041E","Estimate!!Total:!!Male:!!65 years and over:!!Bachelor's degree"
"B15001_041EA","Annotation of Estimate!!Total:!!Male:!!65 years and over:!!Bachelor's degree"
"B15001_041M","Margin of Error!!Total:!!Male:!!65 years and over:!!Bachelor's degree"
"B15001_041MA","Annotation of Margin of Error!!Total:!!Male:!!65 years and over:!!Bachelor's degree"
"B15001_042E","Estimate!!Total:!!Male:!!65 years and over:!!Graduate or professional degree"
"B15001_042M","Margin of Error!!Total:!!Male:!!65 years and over:!!Graduate or professional degree"
"B15001_042MA","Annotation of Margin of Error!!Total:!!Male:!!65 years and over:!!Graduate or professional degree"
"B15001_042EA","Annotation of Estimate!!Total:!!Male:!!65 years and over:!!Graduate or professional degree"
"B15001_043E","Estimate!!Total:!!Female:"
"B15001_043EA","Annotation of Estimate!!Total:!!Female:"
"B15001_043M","Margin of Error!!Total:!!Female:"
"B15001_043MA","Annotation of Margin of Error!!Total:!!Female:"
"B15001_044E","Estimate!!Total:!!Female:!!18 to 24 years:"
