ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,Total Students All Grades (Includes AE) [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22
ALVORD UNIFIED,California,17511,17511
AMADOR COUNTY OFFICE OF EDUCATION,California,22,22
AMADOR COUNTY ROP,California,0,0
AMADOR COUNTY UNIFIED,California,4016,4016
AMBASSADOR PHILLIP V. SANCHEZ II PUBLIC CHARTER DISTRICT,CALIFORNIA,254,254
AMERICA'S FINEST CHARTER DISTRICT,CALIFORNIA,481,481
AMERICAN INDIAN PUBLIC CHARTER DISTRICT,CALIFORNIA,235,235
AMERICAN INDIAN PUBLIC CHARTER II DISTRICT,CALIFORNIA,643,643
AMERICAN INDIAN PUBLIC HIGH DISTRICT,CALIFORNIA,446,446
AMERICAN RIVER COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,61,61
ANAHEIM ELEMENTARY,California,14882,14882
ANAHEIM UNION HIGH,California,28404,28404
ANAHUACALMECAC INTERNATIONAL UNIV PREP N. AMERICA DISTRICT,CALIFORNIA,256,256
ANDERSON UNION HIGH,California,1643,1643
ANDERSON VALLEY UNIFIED,California,449,449
ANIMO CITY OF CHAMPIONS CHARTER HIGH DISTRICT,CALIFORNIA,343,343
ANIMO COMPTON CHARTER DISTRICT,CALIFORNIA,295,295
ANIMO ELLEN OCHOA CHARTER MIDDLE DISTRICT,CALIFORNIA,312,312
ANIMO FLORENCE-FIRESTONE CHARTER MIDDLE DISTRICT,CALIFORNIA,440,440
ANIMO INGLEWOOD CHARTER HIGH DISTRICT,CALIFORNIA,628,628
ANIMO JACKIE ROBINSON HIGH DISTRICT,CALIFORNIA,609,609
ANIMO JAMES B. TAYLOR CHARTER MIDDLE DISTRICT,CALIFORNIA,454,454
ANIMO JEFFERSON CHARTER MIDDLE DISTRICT,CALIFORNIA,528,528
ANIMO LEADERSHIP HIGH DISTRICT,CALIFORNIA,661,661
ANIMO LEGACY CHARTER MIDDLE DISTRICT,CALIFORNIA,900,900
ANIMO MAE JEMISON CHARTER MIDDLE DISTRICT,CALIFORNIA,508,508
ANIMO PAT BROWN DISTRICT,CALIFORNIA,625,625
ANIMO RALPH BUNCHE CHARTER HIGH DISTRICT,CALIFORNIA,614,614
ANIMO SOUTH LOS ANGELES CHARTER DISTRICT,CALIFORNIA,636,636
ANIMO VENICE CHARTER HIGH DISTRICT,CALIFORNIA,497,497
ANIMO WATTS COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,580,580
ANIMO WESTSIDE CHARTER MIDDLE DISTRICT,CALIFORNIA,290,290
ANTELOPE ELEMENTARY,California,857,857
ANTELOPE VALLEY LEARNING ACADEMY DISTRICT,CALIFORNIA,1074,1074
ANTELOPE VALLEY ROP,California,0,0
ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,California,†,†
ANTELOPE VALLEY UNION HIGH,California,22335,22335
ANTIOCH CHARTER ACADEMY DISTRICT,CALIFORNIA,203,203
