ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,Total Students All Grades (Includes AE) [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22
CHARTER SCHOOL OF MORGAN HILL DISTRICT,CALIFORNIA,649,649
CHARTER SCHOOL OF SAN DIEGO DISTRICT,CALIFORNIA,1414,1414
CHATOM UNION,California,566,566
CHAWANAKEE UNIFIED,California,1537,1537
CHICAGO PARK ELEMENTARY,California,162,162
CHICO COUNTRY DAY DISTRICT,CALIFORNIA,565,565
CHICO UNIFIED,California,11996,11996
CHILDREN'S COMMUNITY CHARTER DISTRICT,CALIFORNIA,151,151
CHIME INSTITUTE'S SCHWARZENEGGER COMMUNITY DISTRICT,CALIFORNIA,721,721
CHINO VALLEY UNIFIED,California,25934,25934
CHOWCHILLA ELEMENTARY,California,2178,2178
CHOWCHILLA UNION HIGH,California,1138,1138
CHRYSALIS CHARTER DISTRICT,CALIFORNIA,217,217
CHUALAR UNION,California,281,281
CHULA VISTA ELEMENTARY,California,22188,22188
CHULA VISTA LEARNING COMMUNITY CHARTER DISTRICT,CALIFORNIA,1449,1449
CIENEGA UNION ELEMENTARY,California,24,24
CINNABAR ELEMENTARY,California,222,222
CITIZENS OF THE WORLD CHARTER SCHOOL 4 DISTRICT,CALIFORNIA,163,163
CITIZENS OF THE WORLD CHARTER SCHOOL 5 DISTRICT,CALIFORNIA,173,173
CITIZENS OF THE WORLD CHARTER SCHOOL HOLLYWOOD DISTRICT,CALIFORNIA,430,430
CITIZENS OF THE WORLD CHARTER SCHOOL MAR VISTA DISTRICT,CALIFORNIA,555,555
CITIZENS OF THE WORLD CHARTER SCHOOL SILVER LAKE DISTRICT,CALIFORNIA,798,798
CITRUS SPRINGS CHARTER DISTRICT,CALIFORNIA,388,388
CITY ARTS AND TECH HIGH DISTRICT,CALIFORNIA,232,232
CITY HEIGHTS PREPARATORY CHARTER DISTRICT,CALIFORNIA,123,123
CITY LANGUAGE IMMERSION CHARTER DISTRICT,CALIFORNIA,387,387
CLAREMONT UNIFIED,California,6616,6616
CLARKSVILLE CHARTER DISTRICT,CALIFORNIA,1519,1519
CLASSICAL ACADEMY DISTRICT,CALIFORNIA,1558,1558
CLASSICAL ACADEMY HIGH DISTRICT,CALIFORNIA,1246,1246
CLASSICAL ACADEMY VISTA DISTRICT,CALIFORNIA,643,643
CLAY JOINT ELEMENTARY,California,250,250
CLAYTON VALLEY CHARTER HIGH DISTRICT,CALIFORNIA,2346,2346
CLEAR CREEK ELEMENTARY,California,149,149
CLEAR PASSAGE EDUCATIONAL CENTER DISTRICT,CALIFORNIA,49,49
CLOVERDALE UNIFIED,California,1312,1312
CLOVIS GLOBAL ACADEMY DISTRICT,CALIFORNIA,141,141
CLOVIS UNIFIED,California,42699,42699
COACHELLA VALLEY UNIFIED,California,16625,16625
COALINGA-HURON UNIFIED,California,4434,4434
COAST UNIFIED,California,496,496
COASTAL ACADEMY CHARTER DISTRICT,CALIFORNIA,1821,1821
COASTAL GROVE CHARTER DISTRICT,CALIFORNIA,234,234
COASTLINE ROP,California,0,0
COASTLINE ROP JPA,California,†,†
COFFEE CREEK ELEMENTARY,California,11,11
COLD SPRING ELEMENTARY,California,192,192
COLFAX ELEMENTARY,California,357,357
COLLEGE AND CAREER ADVANTAGE,California,0,0
COLLEGE AND CAREER ADVANTAGE ROP JPA,California,†,†
COLLEGE BRIDGE ACADEMY DISTRICT,CALIFORNIA,225,225
COLLEGE ELEMENTARY,California,187,187
COLLEGE PREPARATORY MIDDLE DISTRICT,CALIFORNIA,392,392
COLLEGIATE CHARTER HIGH SCHOOL OF LOS ANGELES DISTRICT,CALIFORNIA,206,206
COLTON JOINT UNIFIED,California,19986,19986
COLTON-REDLANDS-YUCAIPA ROP,California,0,0
COLTON-REDLANDS-YUCAIPA ROP JPA,California,†,†
COLUMBIA ELEMENTARY,California,715,715
COLUMBIA UNION,California,435,435
COLUMBINE ELEMENTARY,California,181,181
COLUSA COUNTY OFFICE OF EDUCATION,California,27,27
COLUSA UNIFIED,California,1531,1531
COM COLLABORATIVE VIRTUAL - KEPPEL PARTNERSHIP ACAD DISTRICT,CALIFORNIA,292,292
COMMUNITY COLLABORATIVE CHARTER DISTRICT,CALIFORNIA,469,469
COMMUNITY COLLABORATIVE VIRTUAL - SAGE OAK CHARTER DISTRICT,CALIFORNIA,3122,3122
COMMUNITY MONTESSORI DISTRICT,CALIFORNIA,739,739
COMMUNITY OUTREACH ACADEMY DISTRICT,CALIFORNIA,1539,1539
COMMUNITY ROOTS ACADEMY DISTRICT,CALIFORNIA,745,745
COMMUNITY SCHOOL FOR CREATIVE EDUCATION DISTRICT,CALIFORNIA,202,202
COMPASS CHARTER SCHOOL OF YOLO DISTRICT,CALIFORNIA,660,660
COMPASS CHARTER SCHOOLS OF LOS ANGELES DISTRICT,CALIFORNIA,850,850
COMPASS CHARTER SCHOOLS OF SAN DIEGO DISTRICT,CALIFORNIA,853,853
COMPTON UNIFIED,California,18211,18211
COMPTON UNIFIED ROP,California,0,0
CONEJO VALLEY UNIFIED,California,16703,16703
CONNECT COMMUNITY CHARTER DISTRICT,CALIFORNIA,153,153
CONNECTING WATERS CHARTER - EAST BAY DISTRICT,CALIFORNIA,514,514
CONNECTING WATERS CHARTER DISTRICT,CALIFORNIA,980,980
CONNECTING WATERS CHARTER SCHOOL - CENTRAL VALLEY DISTRICT,CALIFORNIA,628,628
CONTRA COSTA COUNTY OFFICE OF EDUCATION,California,323,323
CONTRA COSTA COUNTY ROP,California,0,0
CONTRA COSTA SCHOOL OF PERFORMING ARTS DISTRICT,CALIFORNIA,440,440
CONTRA COSTA SELPA,California,†,†
CORCORAN JOINT UNIFIED,California,3275,3275
CORE BUTTE CHARTER DISTRICT,CALIFORNIA,859,859
CORE CHARTER DISTRICT,CALIFORNIA,470,470
CORNING UNION ELEMENTARY,California,2014,2014
CORNING UNION HIGH,California,1098,1098
CORONA-NORCO UNIFIED,California,50889,50889
CORONADO UNIFIED,California,2747,2747
COTATI-ROHNERT PARK UNIFIED,California,5970,5970
COTTONWOOD CREEK CHARTER DISTRICT,CALIFORNIA,253,253
COTTONWOOD DISTRICT,CALIFORNIA,2419,2419
COTTONWOOD UNION ELEMENTARY,California,918,918
COUNTY COLLABORATIVE CHARTER DISTRICT,CALIFORNIA,151,151
COVINA-VALLEY UNIFIED,California,11193,11193
COX ACADEMY DISTRICT,CALIFORNIA,516,516
CREATIVE ARTS CHARTER DISTRICT,CALIFORNIA,435,435
CREDO HIGH DISTRICT,CALIFORNIA,403,403
CREEKSIDE CHARTER DISTRICT,CALIFORNIA,231,231
CRESCENT VALLEY PUBLIC CHARTER II DISTRICT,CALIFORNIA,549,549
CRESCENT VIEW SOUTH II DISTRICT,CALIFORNIA,1158,1158
CRESCENT VIEW WEST PUBLIC CHARTER DISTRICT,CALIFORNIA,1444,1444
CRETE ACADEMY DISTRICT,CALIFORNIA,219,219
CROWN PREPARATORY ACADEMY DISTRICT,CALIFORNIA,429,429
CUCAMONGA ELEMENTARY,California,2395,2395
CUDDEBACK UNION ELEMENTARY,California,144,144
CULVER CITY UNIFIED,California,6876,6876
CUPERTINO UNION,California,14084,14084
CURTIS CREEK ELEMENTARY,California,461,461
CUTLER-OROSI JOINT UNIFIED,California,3943,3943
CUTTEN ELEMENTARY,California,558,558
CUYAMA JOINT UNIFIED,California,172,172
CYPRESS ELEMENTARY,California,3414,3414
DA VINCI COMMUNICATIONS DISTRICT,CALIFORNIA,527,527
DA VINCI CONNECT DISTRICT,CALIFORNIA,659,659
DA VINCI DESIGN DISTRICT,CALIFORNIA,545,545
DA VINCI RISE HIGH DISTRICT,CALIFORNIA,209,209
DA VINCI SCIENCE DISTRICT,CALIFORNIA,566,566
DARNALL CHARTER DISTRICT,CALIFORNIA,518,518
DAVIS JOINT UNIFIED,California,8308,8308
DEATH VALLEY UNIFIED,California,28,28
DEHESA ELEMENTARY,California,105,105
DEL MAR UNION ELEMENTARY,California,3895,3895
DEL NORTE COUNTY OFFICE OF EDUCATION,California,401,401
DEL NORTE COUNTY ROP,California,0,0
DEL NORTE COUNTY UNIFIED,California,3506,3506
DELANO JOINT UNION HIGH,California,4110,4110
DELANO UNION ELEMENTARY,California,6285,6285
DELHI UNIFIED,California,2440,2440
DELPHIC ELEMENTARY,California,59,59
DELTA ELEMENTARY CHARTER DISTRICT,CALIFORNIA,389,389
DENAIR UNIFIED,California,1245,1245
DESERT CENTER UNIFIED,California,28,28
DESERT SANDS CHARTER DISTRICT,CALIFORNIA,705,705
DESERT SANDS UNIFIED,California,26698,26698
DESERT TRAILS PREPARATORY ACADEMY DISTRICT,CALIFORNIA,530,530
DESIGN TECH HIGH DISTRICT,CALIFORNIA,562,562
DI GIORGIO ELEMENTARY,California,211,211
DIEGO HILLS CENTRAL PUBLIC CHARTER DISTRICT,CALIFORNIA,356,356
DIEGO VALLEY EAST PUBLIC CHARTER DISTRICT,CALIFORNIA,368,368
DIMENSIONS COLLABORATIVE DISTRICT,CALIFORNIA,521,521
DINUBA UNIFIED,California,6592,6592
DISCOVERY CHARTER DISTRICT,CALIFORNIA,537,537
DISCOVERY CHARTER DISTRICT,CALIFORNIA,370,370
DISCOVERY CHARTER DISTRICT,CALIFORNIA,944,944
DISCOVERY CHARTER II DISTRICT,CALIFORNIA,541,541
DISCOVERY CHARTER PREPARATORY #2 DISTRICT,CALIFORNIA,199,199
DIXON MONTESSORI CHARTER DISTRICT,CALIFORNIA,438,438
DIXON UNIFIED,California,3001,3001
DOS PALOS ORO LOMA JOINT UNIFIED,California,2275,2275
DOUGLAS CITY ELEMENTARY,California,162,162
DOWNEY UNIFIED,California,22261,22261
DOWNTOWN CHARTER ACADEMY DISTRICT,CALIFORNIA,271,271
DOWNTOWN COLLEGE PREP - ALUM ROCK DISTRICT,CALIFORNIA,614,614
DOWNTOWN COLLEGE PREPARATORY DISTRICT,CALIFORNIA,560,560
DOWNTOWN COLLEGE PREPARATORY MIDDLE DISTRICT,CALIFORNIA,435,435
DOWNTOWN VALUE DISTRICT,CALIFORNIA,434,434
DR. LEWIS DOLPHIN STALLWORTH SR. CHARTER DISTRICT,CALIFORNIA,262,262
DRY CREEK JOINT ELEMENTARY,California,6468,6468
DUARTE UNIFIED,California,3123,3123
DUBLIN UNIFIED,California,12491,12491
DUCOR UNION ELEMENTARY,California,124,124
DUNHAM ELEMENTARY,California,149,149
DUNSMUIR ELEMENTARY,California,86,86
DUNSMUIR JOINT UNION HIGH,California,61,61
DURHAM UNIFIED,California,982,982
E3 CIVIC HIGH DISTRICT,CALIFORNIA,413,413
EAGLE COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,12,12
EARLIMART ELEMENTARY,California,1445,1445
EAST BAY INNOVATION ACADEMY DISTRICT,CALIFORNIA,563,563
EAST MERCED COUNTY PUBLIC FACILITIES FINANCING AUTHORITY,California,†,†
EAST NICOLAUS JOINT UNION HIGH,California,305,305
EAST PALO ALTO ACADEMY DISTRICT,CALIFORNIA,343,343
EAST SIDE UNION HIGH,California,21844,21844
EAST VALLEY SCHOOL TRANSPORTATION JPA,California,†,†
EAST WHITTIER CITY ELEMENTARY,California,7949,7949
EASTERN SIERRA UNIFIED,California,395,395
EASTSIDE UNION ELEMENTARY,California,3125,3125
ECADEMY CHARTER AT CRANE DISTRICT,CALIFORNIA,96,96
EDEN AREA ROP,California,0,0
EDEN AREA ROP JPA,California,†,†
EDISON ELEMENTARY,California,1036,1036
EDISON-BETHUNE CHARTER ACADEMY DISTRICT,CALIFORNIA,456,456
EDNOVATE - BRIO COLLEGE PREP DISTRICT,CALIFORNIA,476,476
EDNOVATE - EAST COLLEGE PREP DISTRICT,CALIFORNIA,379,379
EDNOVATE - ESPERANZA COLLEGE PREP DISTRICT,CALIFORNIA,481,481
EDNOVATE - LEGACY COLLEGE PREP. DISTRICT,CALIFORNIA,361,361
EDNOVATE - USC HYBRID HIGH COLLEGE PREP DISTRICT,CALIFORNIA,546,546
EDNOVATE COLLEGE PREP 7 DISTRICT,CALIFORNIA,233,233
EDUCATION TECHNOLOGY JPA,CALIFORNIA,†,†
EDWARD B. COLE ACADEMY DISTRICT,CALIFORNIA,414,414
EEL RIVER CHARTER DISTRICT,CALIFORNIA,50,50
EJE ELEMENTARY ACADEMY CHARTER DISTRICT,CALIFORNIA,557,557
EJE MIDDLE ACADEMY DISTRICT,CALIFORNIA,233,233
EL CAMINO REAL CHARTER HIGH DISTRICT,CALIFORNIA,3624,3624
EL CENTRO ELEMENTARY,California,5234,5234
EL DORADO COUNTY OFFICE OF EDUCATION,California,756,756
EL DORADO UNION HIGH,California,6898,6898
EL MONTE CITY,California,7261,7261
EL MONTE UNION HIGH,California,8125,8125
EL NIDO ELEMENTARY,California,153,153
EL RANCHO UNIFIED,California,7613,7613
EL RIO COMMUNITY DISTRICT,CALIFORNIA,174,174
EL SEGUNDO UNIFIED,California,3458,3458
EL SOL SANTA ANA SCIENCE AND ARTS ACADEMY DISTRICT,CALIFORNIA,936,936
EL TEJON UNIFIED,California,685,685
ELEANOR ROOSEVELT COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,397,397
ELEVATE DISTRICT,CALIFORNIA,416,416
ELITE ACAD ACADEMY - ADULT WORK FORCE INVESTMENT DISTRICT,CALIFORNIA,488,488
ELITE ACADEMIC ACADEMY - LUCERNE DISTRICT,CALIFORNIA,598,598
ELITE ACADEMIC ACADEMY - MOUNTAIN EMPIRE DISTRICT,CALIFORNIA,675,675
ELITE PUBLIC DISTRICT,CALIFORNIA,580,580
ELK GROVE UNIFIED,California,62229,62229
ELK HILLS ELEMENTARY,California,173,173
ELVERTA JOINT ELEMENTARY,California,246,246
EMERY UNIFIED,California,613,613
EMPIRE SPRINGS CHARTER DISTRICT,CALIFORNIA,1430,1430
EMPIRE UNION ELEMENTARY,California,2879,2879
EMPOWER CHARTER DISTRICT,CALIFORNIA,127,127
EMPOWER GENERATIONS DISTRICT,CALIFORNIA,92,92
EMPOWERING POSSIBILITIES INTERNATIONAL CHARTER DISTRICT,CALIFORNIA,303,303
ENCINITAS UNION ELEMENTARY,California,4813,4813
ENCORE JR./SR. HIGH SCH FOR THE PERF & VISUAL ARTS DISTRICT,CALIFORNIA,722,722
ENDEAVOR CHARTER DISTRICT,CALIFORNIA,313,313
ENDEAVOR COLLEGE PREPARATORY CHARTER DISTRICT,CALIFORNIA,558,558
ENTERPRISE ELEMENTARY,California,3603,3603
ENTREPRENEUR HIGH DISTRICT,CALIFORNIA,643,643
ENTREPRENEUR HIGH FONTANA DISTRICT,CALIFORNIA,133,133
ENVIRONMENTAL CHARTER HIGH - GARDENA DISTRICT,CALIFORNIA,114,114
ENVIRONMENTAL CHARTER HIGH DISTRICT,CALIFORNIA,515,515
ENVIRONMENTAL CHARTER MIDDLE - INGLEWOOD DISTRICT,CALIFORNIA,350,350
ENVIRONMENTAL CHARTER MIDDLE DISTRICT,CALIFORNIA,350,350
ENVISION ACADEMY FOR ARTS & TECHNOLOGY DISTRICT,CALIFORNIA,411,411
EPIC ACADEMY DISTRICT,CALIFORNIA,†,†
EPIC CHARTER DISTRICT,CALIFORNIA,†,†
EPIC CHRTR(EXCELLENCE PERF INNOVATION CITZENSHIP) DIST,CALIFORNIA,1095,1095
EPIC DE CESAR CHAVEZ DISTRICT,CALIFORNIA,543,543
EQUITAS ACADEMY #2 DISTRICT,CALIFORNIA,391,391
EQUITAS ACADEMY #3 CHARTER DISTRICT,CALIFORNIA,498,498
EQUITAS ACADEMY 4 DISTRICT,CALIFORNIA,350,350
EQUITAS ACADEMY 5 DISTRICT,CALIFORNIA,116,116
EQUITAS ACADEMY 6 DISTRICT,CALIFORNIA,150,150
EQUITAS ACADEMY CHARTER DISTRICT,CALIFORNIA,464,464
ESCALON CHARTER ACADEMY DISTRICT,CALIFORNIA,321,321
ESCALON UNIFIED,California,2585,2585
ESCONDIDO CHARTER HIGH DISTRICT,CALIFORNIA,940,940
ESCONDIDO UNION,California,14360,14360
ESCONDIDO UNION HIGH,California,7166,7166
ESCUELA POPULAR ACCELERATED FAMILY LEARNING DISTRICT,CALIFORNIA,361,361
ESCUELA POPULAR/CTR FOR TRN AND CAREERS FAM LRNG DISTRICT,CALIFORNIA,415,415
ESPARTO UNIFIED,California,961,961
ETIWANDA ELEMENTARY,California,13304,13304
EUREKA CITY SCHOOLS,California,3619,3619
EUREKA UNION,California,3084,3084
EVEREST PUBLIC HIGH DISTRICT,CALIFORNIA,322,322
EVEREST VALUE DISTRICT,CALIFORNIA,256,256
EVERGREEN ELEMENTARY,California,9165,9165
EVERGREEN UNION,California,1151,1151
EXCEL ACADEMY CHARTER DISTRICT,CALIFORNIA,612,612
EXCEL ACADEMY CHARTER DISTRICT,CALIFORNIA,1256,1256
EXCELSIOR CHARTER DISTRICT,CALIFORNIA,1952,1952
EXCELSIOR CHARTER SCHOOL CORONA-NORCO DISTRICT,CALIFORNIA,111,111
EXETER UNIFIED,California,2633,2633
EXTERA PUBLIC DISTRICT,CALIFORNIA,394,394
EXTERA PUBLIC SCHOOL NO. 2 DISTRICT,CALIFORNIA,278,278
EZEQUIEL TAFOYA ALVARADO ACADEMY DISTRICT,CALIFORNIA,615,615
FAIRFAX ELEMENTARY,California,2676,2676
FAIRFIELD-SUISUN UNIFIED,California,20715,20715
FALL RIVER JOINT UNIFIED,California,1176,1176
FALLBROOK UNION ELEMENTARY,California,4921,4921
FALLBROOK UNION HIGH,California,2128,2128
FAMILY FIRST CHARTER DISTRICT,CALIFORNIA,385,385
FAMILY PARTNERSHIP CHARTER DISTRICT,CALIFORNIA,405,405
FARMERSVILLE UNIFIED,California,2463,2463
FEASTER (MAE L.) CHARTER DISTRICT,CALIFORNIA,1144,1144
FENTON AVENUE CHARTER DISTRICT,CALIFORNIA,554,554
FENTON CHARTER LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,323,323
FENTON PRIMARY CENTER DISTRICT,CALIFORNIA,607,607
FENTON STEM ACAD: ELEM CTR FOR SCI TECH ENGR & MATH DISTRICT,CALIFORNIA,341,341
FERNDALE UNIFIED,California,476,476
FIELDBROOK ELEMENTARY,California,116,116
FILLMORE UNIFIED,California,3673,3673
FIREBAUGH-LAS DELTAS UNIFIED,California,2164,2164
FIVE KEYS ADULT SCHOOL (SF SHERIFF'S) DISTRICT,CALIFORNIA,71,71
FIVE KEYS CHARTER (SF SHERIFF'S) DISTRICT,CALIFORNIA,87,87
FIVE KEYS INDEPENDENCE HS (SF SHERIFF'S) DISTRICT,CALIFORNIA,2352,2352
FLOURNOY UNION ELEMENTARY,California,47,47
FOLSOM-CORDOVA UNIFIED,California,20344,20344
FONTANA UNIFIED,California,35101,35101
FOREST RANCH CHARTER DISTRICT,CALIFORNIA,110,110
FORESTHILL UNION ELEMENTARY,California,425,425
FORESTVILLE UNION ELEMENTARY,California,238,238
FORKS OF SALMON ELEMENTARY,California,8,8
FORT BRAGG UNIFIED,California,1670,1670
FORT ROSS ELEMENTARY,California,12,12
FORT SAGE UNIFIED,California,241,241
FORTUNA ELEMENTARY,California,1133,1133
FORTUNA UNION HIGH,California,1094,1094
FORTUNE DISTRICT,CALIFORNIA,1817,1817
FORTY-NINER ROP,California,0,0
FOUNTAIN VALLEY ELEMENTARY,California,5998,5998
FOWLER UNIFIED,California,2557,2557
FRANCOPHONE CHARTER SCHOOL OF OAKLAND DISTRICT,CALIFORNIA,321,321
FRANKLIN ELEMENTARY,California,476,476
FRANKLIN-MCKINLEY ELEMENTARY,California,6196,6196
FREMONT UNIFIED,California,33873,33873
FREMONT UNION HIGH,California,10296,10296
FRENCH GULCH-WHISKEYTOWN ELEMENTARY,California,24,24
FRESHWATER ELEMENTARY,California,290,290
FRESNO COUNTY OFFICE OF EDUCATION,California,740,740
FRESNO ROP,California,0,0
FRESNO UNIFIED,California,69873,69873
FRUITVALE ELEMENTARY,California,3063,3063
FUENTE NUEVA CHARTER DISTRICT,CALIFORNIA,144,144
FULLERTON ELEMENTARY,California,11681,11681
FULLERTON JOINT UNION HIGH,California,13431,13431
FUSION CHARTER DISTRICT,CALIFORNIA,110,110
FUTURES HIGH DISTRICT,CALIFORNIA,425,425
GABRIELLA CHARTER 2 DISTRICT,CALIFORNIA,327,327
GABRIELLA CHARTER DISTRICT,CALIFORNIA,437,437
GALT JOINT UNION ELEMENTARY,California,3297,3297
GALT JOINT UNION HIGH,California,2204,2204
GANAS ACADEMY DISTRICT,CALIFORNIA,†,†
GARDEN GROVE UNIFIED,California,38560,38560
GARFIELD ELEMENTARY,California,66,66
GARVEY ELEMENTARY,California,4286,4286
GARVEY/ALLEN VISUAL & PERFORMING ARTS ACADEMY FOR STEM DIST,CALIFORNIA,125,125
GATEWAY COLLEGE AND CAREER ACADEMY DISTRICT,CALIFORNIA,70,70
GATEWAY HIGH DISTRICT,CALIFORNIA,500,500
GATEWAY INTERNATIONAL DISTRICT,CALIFORNIA,522,522
GATEWAY MIDDLE DISTRICT,CALIFORNIA,296,296
GATEWAY UNIFIED,California,2268,2268
GAZELLE UNION ELEMENTARY,California,38,38
GENERAL SHAFTER ELEMENTARY,California,190,190
GERBER UNION ELEMENTARY,California,409,409
GEYSERVILLE UNIFIED,California,199,199
GILROY PREP (A NAVIGATOR SCHOOL) DISTRICT,CALIFORNIA,540,540
GILROY UNIFIED,California,10624,10624
GIRLS ATHLETIC LEADERSHIP SCHOOL LOS ANGELES DISTRICT,CALIFORNIA,166,166
GLACIER HIGH SCHOOL CHARTER DISTRICT,CALIFORNIA,94,94
GLENDALE UNIFIED,California,24213,24213
GLENDORA UNIFIED,California,6671,6671
GLENN COUNTY OFFICE OF EDUCATION,California,289,289
GLENN COUNTY ROP,California,0,0
GLOBAL EDUCATION ACADEMY 2 DISTRICT,CALIFORNIA,79,79
GLOBAL EDUCATION ACADEMY DISTRICT,CALIFORNIA,328,328
GOALS ACADEMY DISTRICT,CALIFORNIA,237,237
GOETHE INTERNATIONAL CHARTER DISTRICT,CALIFORNIA,388,388
GOLD OAK UNION ELEMENTARY,California,432,432
GOLD RUSH CHARTER DISTRICT,CALIFORNIA,438,438
GOLD TRAIL UNION ELEMENTARY,California,546,546
GOLDEN CHARTER ACADEMY DISTRICT,CALIFORNIA,188,188
GOLDEN EAGLE CHARTER DISTRICT,CALIFORNIA,478,478
GOLDEN FEATHER UNION ELEMENTARY,California,77,77
GOLDEN GATE COMMUNITY DISTRICT,CALIFORNIA,†,†
GOLDEN PLAINS UNIFIED,California,1424,1424
GOLDEN VALLEY CHARTER DISTRICT,CALIFORNIA,525,525
GOLDEN VALLEY ORCHARD DISTRICT,CALIFORNIA,262,262
GOLDEN VALLEY RIVER DISTRICT,CALIFORNIA,278,278
GOLDEN VALLEY TAHOE DISTRICT,CALIFORNIA,75,75
GOLDEN VALLEY UNIFIED,California,2311,2311
GOLETA UNION ELEMENTARY,California,3381,3381
GOMPERS PREPARATORY ACADEMY DISTRICT,CALIFORNIA,1287,1287
GONZALES UNIFIED,California,2181,2181
GORMAN JOINT,California,57,57
GORMAN LEARNING CENTER DISTRICT,CALIFORNIA,1192,1192
GORMAN LEARNING CENTER SAN BERNARDINO/SANTA CLARITA DISTRICT,CALIFORNIA,1329,1329
GRACE HOPPER STEM ACADEMY DISTRICT,CALIFORNIA,68,68
GRANADA HILLS CHARTER DISTRICT,CALIFORNIA,5675,5675
GRANITE MOUNTAIN CHARTER DISTRICT,CALIFORNIA,3318,3318
GRANT ELEMENTARY,California,618,618
GRASS VALLEY ELEMENTARY,California,1622,1622
GRATTON ELEMENTARY,California,142,142
GRAVENSTEIN UNION ELEMENTARY,California,761,761
GRAVES ELEMENTARY,California,35,35
GREAT VALLEY ACADEMY - SALIDA DISTRICT,CALIFORNIA,811,811
GREAT VALLEY ACADEMY DISTRICT,CALIFORNIA,826,826
GREATER ANAHEIM SELPA JPA,California,†,†
GREATER SAN DIEGO ACADEMY DISTRICT,CALIFORNIA,191,191
GREEN POINT ELEMENTARY,California,10,10
GREENFIELD UNION,California,9215,9215
GREENFIELD UNION ELEMENTARY,California,3400,3400
GRENADA ELEMENTARY,California,206,206
GRIDLEY UNIFIED,California,2029,2029
GRIFFIN ACADEMY HIGH DISTRICT,CALIFORNIA,179,179
GRIMMWAY ACADEMY DISTRICT,CALIFORNIA,795,795
GRIMMWAY ACADEMY SHAFTER DISTRICT,CALIFORNIA,784,784
GROSSMONT SECONDARY DISTRICT,CALIFORNIA,282,282
GROSSMONT UNION HIGH,California,17108,17108
GROVE DISTRICT,CALIFORNIA,244,244
GROWTH PUBLIC DISTRICT,CALIFORNIA,249,249
GUADALUPE UNION ELEMENTARY,California,1286,1286
GUAJOME LEARNING CENTER DISTRICT,CALIFORNIA,90,90
GUAJOME PARK ACADEMY CHARTER DISTRICT,CALIFORNIA,1347,1347
GUERNEVILLE ELEMENTARY,California,224,224
GUSTINE UNIFIED,California,1753,1753
HACIENDA LA PUENTE UNIFIED,California,16559,16559
HAMILTON UNIFIED,California,709,709
HANFORD ELEMENTARY,California,5546,5546
HANFORD JOINT UNION HIGH,California,4142,4142
HAPPY CAMP UNION ELEMENTARY,California,102,102
HAPPY VALLEY ELEMENTARY,California,109,109
HAPPY VALLEY UNION ELEMENTARY,California,469,469
HARBOR SPRINGS CHARTER DISTRICT,CALIFORNIA,258,258
HARDY BROWN COLLEGE PREP DISTRICT,CALIFORNIA,384,384
HARMONY UNION ELEMENTARY,California,182,182
HARRIET TUBMAN VILLAGE CHARTER DISTRICT,CALIFORNIA,399,399
HART ROP,California,0,0
HART-RANSOM UNION ELEMENTARY,California,1202,1202
HARVEST RIDGE COOPERATIVE CHARTER DISTRICT,CALIFORNIA,266,266
HAWKING S.T.E.A.M. CHARTER DISTRICT,CALIFORNIA,1267,1267
HAWTHORNE,California,7305,7305
HAYWARD COLLEGIATE CHARTER DISTRICT,CALIFORNIA,141,141
HAYWARD UNIFIED,California,18075,18075
HEALDSBURG UNIFIED,California,1274,1274
HEALTH SCIENCES HIGH DISTRICT,CALIFORNIA,598,598
HEARTLAND CHARTER DISTRICT,CALIFORNIA,4486,4486
HEARTWOOD CHARTER DISTRICT,CALIFORNIA,350,350
HEBER ELEMENTARY,California,1152,1152
HELENDALE ELEMENTARY,California,1141,1141
HELIX HIGH DISTRICT,CALIFORNIA,2462,2462
HEMET UNIFIED,California,22417,22417
HERITAGE K-8 CHARTER DISTRICT,CALIFORNIA,1306,1306
HERITAGE PEAK CHARTER DISTRICT,CALIFORNIA,993,993
HERMOSA BEACH CITY ELEMENTARY,California,1216,1216
HESPERIA UNIFIED,California,22323,22323
HICKMAN COMMUNITY CHARTER,California,1056,1056
HIGH TECH ELEMENTARY CHULA VISTA DISTRICT,CALIFORNIA,447,447
HIGH TECH ELEMENTARY DISTRICT,CALIFORNIA,412,412
HIGH TECH ELEMENTARY EXPLORER DISTRICT,CALIFORNIA,375,375
HIGH TECH ELEMENTARY MESA DISTRICT,CALIFORNIA,376,376
HIGH TECH ELEMENTARY NORTH COUNTY DISTRICT,CALIFORNIA,448,448
HIGH TECH HIGH CHULA VISTA DISTRICT,CALIFORNIA,624,624
HIGH TECH HIGH DISTRICT,CALIFORNIA,501,501
HIGH TECH HIGH INTERNATIONAL DISTRICT,CALIFORNIA,391,391
HIGH TECH HIGH MEDIA ARTS DISTRICT,CALIFORNIA,394,394
HIGH TECH HIGH MESA DISTRICT,CALIFORNIA,422,422
HIGH TECH HIGH NORTH COUNTY DISTRICT,CALIFORNIA,420,420
HIGH TECH LA DISTRICT,CALIFORNIA,372,372
HIGH TECH LA MIDDLE DISTRICT,CALIFORNIA,211,211
