OBJECTID,COMMENTS,Source,Date_Data_Refers_To,Modified_By,Last_Modified_Date,Zone,Shape__Area,Shape__Length
1,,Delta_Primary_Zone Shapefile,1992/01/01 00:00:00+00,"AU, GDSS",2022/02/15 00:00:00+00,Primary,3213368992.85254,506052.43812116
2,,Delta_Secondary_Zone shapefile,1992/01/01 00:00:00+00,"AU, GDSS",2022/02/15 00:00:00+00,Secondary,1613480339.36424,741304.524653431
